x,y,theta
6.2018327713012695,-2.5020456314086914,-0.44818506281889026
7.727046966552734,-2.914808750152588,0.5332475466295713
8.581628799438477,-1.4689698219299316,1.126336146961477
9.801834106445312,1.36336350440979,1.1876047945003856
10.919209480285645,3.9491705894470215,1.0802596725535263
10.90386962890625,4.841182708740234,1.9997692402188458
9.814759254455566,5.488280296325684,2.6814500464041293
5.513059616088867,7.534755229949951,2.7007346928137186
-0.4288046360015869,10.011415481567383,2.6466998432141793
-4.936124324798584,12.219295501708984,2.8073598934762334
-8.737232208251953,13.89426040649414,2.7672478480767313
-9.913435935974121,14.168692588806152,-2.596854877397746
-10.485107421875,13.09786605834961,-1.9972560009918074
-11.62537670135498,10.511603355407715,-2.0368190487520343
-13.07204532623291,7.592101097106934,-2.018277973401272
-13.390406608581543,6.484310150146484,-0.9786805943069141
-12.322348594665527,5.971793174743652,-0.4653398810071081
-9.350276947021484,4.496598720550537,-0.465853893291212
-6.324499607086182,3.2535033226013184,-0.5609775933237723
-2.3073573112487793,1.4078741073608398,-0.46911210666838327
0.7094700336456299,0.15748190879821777,-0.5146771308102913
3.7493679523468018,-1.3031985759735107,-0.5407180609342693
6.2018327713012695,-2.5020456314086914,-0.44818506281889026
